cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,evac_decision
2.158120486,-0.383027177,-1.117252021,-0.480470415,-1.319076189,-0.396403163,0
1.97835784,-0.70692901,4.040818376,0.047190035,-0.250563385,-0.258030642,0
0.956201,1.311641996,-0.584583201,1.560355172,-0.262691959,3.036000475,1
1.217177211,-1.658801937,-2.045728998,1.25423319,0.387369179,0.608713854,0
-0.870222242,1.311641996,-1.332267705,0.34313219,-1.32544805,0.079036714,0
-1.922076974,1.911040627,-2.18131361,-0.233054818,-1.120493224,-0.247535665,0
1.328735241,1.949529375,-2.18131361,0.947823545,1.036015878,0.611323216,0
1.736667301,-0.764025739,-2.045728998,-0.573173994,-0.277208343,1.959351126,0
1.429791701,1.949529375,-1.690927717,1.521407962,-0.899425774,-1.805945486,0
-0.927800316,-0.493594602,-0.846082796,0.153275985,4.605286547,0.149301304,0
-1.225384011,1.311641996,1.365156503,0.106480389,-0.922597844,1.619049594,0
-0.429987373,-1.339858247,0.963859519,0.325783396,-1.985639721,-2.535577198,0
0.09925263,0.992698306,-2.18131361,-0.277415405,-0.699803896,0.949015386,0
-0.889729521,-0.584065057,-1.436797994,1.210352475,-1.568147183,-0.265932606,0
2.390976194,-1.020914557,-0.720167814,-1.056473858,-1.563843459,0.865572579,0
-0.523730624,-0.764025739,-1.117252021,0.332872893,-0.661030365,0.400701557,0
1.232553966,0.239783803,4.447572213,1.547364559,-0.027108125,-1.080332394,1
1.568347307,-4.200886093,-2.045728998,-2.217192643,-2.419360898,2.695698943,0
0.586104845,1.592096937,1.153797774,-1.923773612,-2.200577274,-1.739080943,0
0.515966235,1.630585685,-1.843551832,2.447998069,1.038459541,-2.942192338,0
0.950124406,1.592096937,-1.603436929,0.916637137,-0.017423215,-2.52956779,0
2.337132373,-1.631429009,1.684324835,-1.115580646,-1.556887996,2.626775973,1
-1.607709877,1.592096937,4.726659165,-1.614840845,-1.993338622,2.152677716,1
-1.142700571,-1.082969429,0.891432471,-0.57028374,-1.540671388,1.619049594,1
-0.372936169,1.592096937,1.684324835,0.916820702,4.605286547,-0.05477636,0
-3.809515559,-0.122721316,1.103656908,-0.698534662,-0.69789767,-3.489164546,0
1.596778202,-3.377037233,4.591074552,-1.069360374,-1.978238636,2.422163722,1
0.3861138,-0.441665006,-1.572382607,0.340713163,0.180714129,-0.599065329,0
2.424867927,-0.383027177,0.620263246,0.695762106,-0.262691959,-0.728745202,0
0.694729485,0.155408598,-2.18131361,0.695578541,-0.479114046,-0.250695963,0
-0.869108666,1.949529375,-0.504120032,1.243949265,4.605286547,-3.092567325,0
1.530319331,1.311641996,-0.981667409,0.031780396,-0.465786724,-0.250695963,0
