cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,evac_decision
1.652758846,-0.383027177,-1.499953258,-0.948829512,-1.117252021,-0.480470415,-1.319076189,-0.396403163,0
1.752559481,-0.70692901,-0.450769822,-0.948829512,4.040818376,0.047190035,-0.250563385,-0.258030642,0
0.762826258,1.311641996,-0.44751089,-0.948829512,-0.584583201,1.560355172,-0.262691959,3.036000475,1
1.413562105,-1.658801937,0.609756093,-0.948829512,-2.045728998,1.25423319,0.387369179,0.608713854,0
-1.266178928,1.311641996,-0.450769822,-0.948829512,-1.332267705,0.34313219,-1.32544805,0.079036714,0
-1.645893908,1.911040627,0.760956875,-0.948829512,-2.18131361,-0.233054818,-1.120493224,-0.247535665,0
2.094419425,1.949529375,1.662198461,-0.948829512,-2.18131361,0.947823545,1.036015878,0.611323216,0
2.078513695,-0.764025739,0.601672546,-0.948829512,-2.045728998,-0.573173994,-0.277208343,1.959351126,0
1.627813698,1.949529375,0.609756093,-0.948829512,-1.690927717,1.521407962,-0.899425774,-1.805945486,0
0.076188124,-0.493594602,2.870666226,-0.948829512,-0.846082796,0.153275985,4.605286547,0.149301304,0
-0.828920979,1.311641996,1.206489326,2.123277097,1.365156503,0.106480389,-0.922597844,1.619049594,0
-0.989782857,-1.339858247,-1.499953258,0.537185986,0.963859519,0.325783396,-1.985639721,-2.535577198,0
0.70464303,0.992698306,2.267015241,-0.948829512,-2.18131361,-0.277415405,-0.699803896,0.949015386,0
-1.376521568,-0.584065057,-1.499953258,0.537185986,-1.436797994,1.210352475,-1.568147183,-0.265932606,0
1.827334912,-1.020914557,-1.499953258,-0.948829512,-0.720167814,-1.056473858,-1.563843459,0.865572579,0
-0.79028828,-0.764025739,-0.44751089,-0.948829512,-1.117252021,0.332872893,-0.661030365,0.400701557,0
1.170689962,0.239783803,-1.499953258,2.123277097,4.447572213,1.547364559,-0.027108125,-1.080332394,1
1.376378947,-4.200886093,0.15730589,-0.948829512,-2.045728998,-2.217192643,-2.419360898,2.695698943,0
1.324827508,1.592096937,1.662198461,2.123277097,1.153797774,-1.923773612,-2.200577274,-1.739080943,0
0.418716427,1.630585685,-0.44751089,-0.948829512,-1.843551832,2.447998069,1.038459541,-2.942192338,0
0.344907917,1.592096937,-1.499953258,-0.948829512,-1.603436929,0.916637137,-0.017423215,-2.52956779,0
1.846119969,-1.631429009,-1.499953258,-0.948829512,1.684324835,-1.115580646,-1.556887996,2.626775973,1
-1.757817254,1.592096937,0.601672546,-0.948829512,4.726659165,-1.614840845,-1.993338622,2.152677716,1
-1.054444148,-1.082969429,0.601672546,-0.948829512,0.891432471,-0.57028374,-1.540671388,1.619049594,1
-1.051216382,1.592096937,-1.499953258,-0.948829512,1.684324835,0.916820702,4.605286547,-0.05477636,0
-3.838552858,-0.122721316,-0.439427343,2.123277097,1.103656908,-0.698534662,-0.69789767,-3.489164546,0
1.939441252,-3.377037233,0.15730589,2.123277097,4.591074552,-1.069360374,-1.978238636,2.422163722,1
0.586413193,-0.441665006,0.609756093,-0.948829512,-1.572382607,0.340713163,0.180714129,-0.599065329,0
2.424090246,-0.383027177,-1.499953258,2.123277097,0.620263246,0.695762106,-0.262691959,-0.728745202,0
0.452867317,0.155408598,-0.450769822,-0.948829512,-2.18131361,0.695578541,-0.479114046,-0.250695963,0
0.706524602,1.949529375,2.870666226,2.123277097,-0.504120032,1.243949265,4.605286547,-3.092567325,0
1.297461099,1.311641996,0.15730589,-0.948829512,-0.981667409,0.031780396,-0.465786724,-0.250695963,0
2.29435204,-0.982425809,0.609756093,-0.948829512,-1.707967219,-2.808709821,1.925133737,-1.813354043,0
0.80678487,-1.020914557,-1.499953258,-0.948829512,-0.858921314,0.695762106,1.038459541,-0.728745202,0
1.822865418,0.754807229,-0.44751089,-0.948829512,-2.316898223,3.302123646,-0.477547385,-1.327247079,0
-1.762984989,1.273153247,2.870666226,-0.948829512,-2.316898223,-2.808709821,-2.864994958,0.366301087,1
0.941854088,1.592096937,-1.499953258,2.123277097,-1.555343104,-2.808709821,-2.864994958,-3.4857645,0
0.883230226,-1.020914557,-0.450769822,2.123277097,-0.226117053,-0.82234518,-2.864994958,0.004993253,1
-0.197702924,-3.37362019,0.601672546,-0.948829512,-2.316898223,0.402606109,4.605286547,-0.524132951,1
0.384491182,-0.383027177,-1.499953258,-0.948829512,0.343893776,-2.808709821,-0.68064215,0.608713854,1
1.238907248,-0.802514487,-0.450769822,-0.948829512,-0.675242876,3.318004512,4.605286547,-1.063754132,0
-1.982889107,0.662638795,-0.44751089,2.123277097,0.784110934,0.034407616,4.605286547,0.145901258,0
-3.136157412,1.592096937,0.15730589,2.123277097,-0.846082796,0.608471904,4.605286547,-0.539427122,0
0.988765074,-3.524395426,0.601672546,-0.948829512,0.629932875,7.97553528,-0.472742186,-0.853865628,1
-2.299018891,-4.915311847,-0.439427343,-0.948829512,4.45548994,-0.557213659,-1.151594128,0.08225454,1
-1.448345838,1.592096937,0.15730589,-0.948829512,-2.045728998,-2.808709821,-1.563843459,-1.337264998,0
0.660936972,-1.020914557,0.15730589,-0.948829512,-2.18131361,0.651985488,-0.502947429,-2.201893539,0
-1.105079229,1.592096937,0.609756093,-0.948829512,-0.981667409,-0.49810687,-0.915564672,1.153627636,0
0.132164181,-1.020914557,-1.499953258,0.537185986,-1.910144385,0.034303519,0.608964378,-0.597006903,0
0.371143714,-0.344538429,-1.499953258,2.123277097,4.583156826,-1.056473858,-1.563843459,0.949015386,0
1.784757898,1.311641996,1.206489326,-0.948829512,3.450103178,-0.320561858,-2.200577274,1.092590281,1
-1.300250945,-0.701970867,1.662198461,2.123277097,-2.316898223,-0.747541091,-0.692187122,0.143291896,0
1.750067111,0.43586354,0.15730589,2.123277097,1.093609637,0.016266661,-0.906831275,1.87724994,0
-2.356756791,1.592096937,-1.499953258,-0.948829512,-1.16562877,2.427471361,4.605286547,1.619049594,1
-3.893136358,0.487793136,0.609756093,2.123277097,3.257595641,0.65196086,-0.703230619,0.617941088,0
1.676114126,-0.344538429,-1.499953258,-0.948829512,1.093609637,-1.056473858,-1.339804597,-0.269332652,0
-1.855744001,0.701127543,-1.499953258,-0.948829512,3.386228105,0.35882949,4.605286547,-0.590446559,0
2.198917663,0.155408598,-0.450769822,-0.948829512,1.055280159,-0.498002774,4.605286547,-0.114824463,0
1.229763626,-1.020914557,0.15730589,-0.948829512,-2.316898223,-0.217941486,4.605286547,-1.273658985,0
-0.625666119,-3.197076551,-1.499953258,2.123277097,0.750647613,-0.567393487,-1.186393297,0.379901272,1
1.440928514,0.474352288,2.870666226,-0.948829512,-1.707967219,-0.22822541,1.925133737,-1.399330347,0
0.70464303,1.630585685,-1.499953258,2.123277097,-0.720167814,-0.524247033,-2.200209362,-2.94881021,0
1.268629697,0.992698306,1.662198461,-0.948829512,-0.981667409,-1.146287183,-2.433717444,2.024323114,0
0.838596329,-1.835883932,-1.499953258,2.123277097,4.99782839,1.192419713,-0.280521393,0.143291896,1
-2.586319778,1.949529375,0.609756093,-0.948829512,-1.843551832,0.65196086,-0.712915529,0.602095981,0
2.344561599,0.43586354,0.609756093,-0.948829512,-2.316898223,0.633765064,-0.675386912,-4.084266377,0
2.198917663,0.11691985,-0.450769822,-0.948829512,-0.981667409,0.664847376,1.255542941,-3.4857645,0
-2.315128584,1.630585685,-1.499953258,-0.948829512,4.447572213,-0.557397224,-0.920154181,0.744403135,0
-2.187299509,1.911040627,2.870666226,2.123277097,0.671022678,1.547180994,0.387369179,-0.584988087,0
-1.523605253,0.382183854,0.609756093,2.123277097,2.980607606,-2.808709821,-1.109316164,-2.815730291,0
-2.362641809,-0.545576309,-1.499953258,-0.948829512,-0.946412101,1.228068399,0.176488115,-3.14941395,0
-2.436285438,-2.240245482,-1.499953258,-0.948829512,0.357764391,0.68287559,-0.451931652,1.94617291,0
-2.768149114,1.592096937,-1.499953258,-0.948829512,2.668955353,-1.069360374,-1.976538412,3.036000475,1
-3.091319552,-0.916449595,2.267015241,2.123277097,-1.572382607,0.023940126,-0.891358961,-3.741906419,0
0.847862748,0.474352288,-1.499953258,-0.948829512,-2.18131361,-0.48240957,-2.640956097,1.156236998,0
1.827334912,-1.911883951,0.609756093,-0.948829512,2.976756787,-2.515474355,-1.759455012,1.298726372,1
-0.758025209,0.992698306,0.609756093,2.123277097,4.99782839,0.134951465,4.605286547,2.422163722,1
2.3255527,1.592096937,-0.450769822,-0.948829512,0.072724551,-2.808709821,-2.864994958,3.036000475,1
