cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,evac_decision
0.247453625,1.313261544,-1.3478668,-0.731814671,0.122369474,-0.910019802,-0.127682915,-8.723354734,-0.257201457,-1.290729733,0.280107645,0
1.201379045,0.52032106,2.237716851,-0.731814671,0.122369474,0.557183661,1.850594121,0.066915899,-0.259476842,-0.116787679,0.140336421,0
-3.125427829,0.709559031,-0.621405979,0.541976997,-0.874973762,-0.910019802,-1.506793986,-0.347942314,-0.905803809,1.138215944,1.448273136,0
1.299349314,-0.69763336,1.51125603,-0.731814671,-1.58380602,2.086218765,2.230332067,-1.023287961,-0.245036426,-0.116787679,1.57763608,1
-1.346969592,-0.630777826,2.805132873,2.386585841,0.76378113,2.086218765,0.487343294,-1.105482042,-0.490576662,1.138215944,-0.32138177,1
0.280650681,-0.530760101,-1.3478668,-0.731814671,0.76378113,-0.910019802,1.635846732,1.434091725,-2.406910125,2.42029074,-2.849962917,1
-0.937384109,-0.111719462,-1.71109721,-0.731814671,-1.58380602,-0.910019802,-1.567416269,-8.723354734,-0.899831231,1.138215944,1.054414779,0
0.133087441,-1.136204188,1.51125603,0.835315632,0.76378113,2.086218765,2.610070012,0.019159013,-0.683926425,-1.290729733,-0.684415195,0
-1.248999323,2.260437101,1.51125603,3.946820965,1.761124366,2.086218765,-1.377547296,0.915918088,-1.132706068,1.138215944,-1.086981228,1
-0.616408703,2.461671272,2.600947261,3.930960871,-1.58380602,-0.910019802,-1.377547296,0.370269148,-1.112075971,1.138215944,-0.717274587,1
-2.689182971,0.839113487,-1.71109721,-0.731814671,2.469956625,2.086218765,0.168227631,-1.135202318,-0.044311959,2.42029074,0.794304778,1
-0.412714812,-1.768244709,0.625750411,0.819455538,-1.58380602,-0.910019802,-2.444050599,-1.597597364,-0.044311959,-0.116787679,0.794304778,0
-2.994260505,-0.365208931,1.87448644,-0.731814671,0.76378113,2.086218765,-1.060258897,-1.115550182,0.80684187,2.42029074,-0.953549363,0
-0.511090305,1.140365382,-1.3478668,2.673029298,-1.58380602,-0.910019802,-1.075605307,-1.322904578,4.790041753,-1.290729733,-2.849962917,0
-0.34713115,0.910793202,-1.3478668,-0.731814671,-1.58380602,-0.910019802,-1.075605307,-0.664870452,4.790041753,-1.290729733,-2.849962917,0
-0.215963826,2.306563725,-0.984636389,-0.731814671,0.122369474,-0.910019802,-1.886531932,2.512726589,1.241843301,-0.116787679,2.215907053,0
1.397724807,0.254415905,2.237716851,-0.731814671,-1.58380602,-0.910019802,-1.087693558,-0.685447775,-0.258126708,-1.290729733,1.446238675,0
0.231462934,-2.354158607,0.262520001,0.541976997,-0.874973762,-0.910019802,0.61476272,-2.266140673,0.807504073,2.42029074,1.654520082,1
1.086607637,0.858874164,-0.984636389,2.093247205,-0.874973762,2.086218765,0.062186058,-8.723354734,-0.061290808,-0.116787679,0.84881818,0
1.316150454,-0.934970017,-0.984636389,2.673029298,-0.586462784,-0.910019802,1.871134996,-0.009597093,-0.908079194,1.138215944,2.233069061,0
-0.757434262,0.117852718,-0.984636389,-0.731814671,1.761124366,-0.910019802,-1.629865816,-0.480433995,-0.685585552,-1.290729733,0.068091175,0
-2.492431985,-1.935117968,0.625750411,-0.731814671,2.469956625,-0.910019802,1.97366595,-0.465094159,-0.268250902,2.42029074,0.026670861,0
-2.152926548,-1.768244709,0.988980822,2.386585841,-0.874973762,-0.910019802,-0.870389924,-0.975751128,-0.471938686,2.42029074,3.270406983,0
1.119399468,-1.153992802,-0.984636389,-0.731814671,-1.58380602,-0.910019802,-2.254181626,-2.248829153,0.16767578,-1.290729733,0.409470589,0
-0.593069883,0.341451602,-0.984636389,5.498091174,-0.441831647,1.968035034,2.230332067,0.856716617,-1.521067492,-1.290729733,-0.505258116,1
1.348537061,0.755685655,2.237716851,-0.731814671,0.122369474,-0.910019802,-0.270962585,1.252131989,-2.616622479,-0.116787679,-0.448140418,0
1.562089187,-1.186487424,0.625750411,2.093247205,-1.58380602,-0.910019802,-0.451289496,-1.238369881,0.58451611,-1.290729733,1.063438947,0
-0.773424954,-2.33758631,-1.71109721,-0.731814671,0.122369474,-0.910019802,2.799938985,-1.310830545,4.790041753,-0.116787679,-0.896431665,1
1.873611581,-1.065740789,-1.3478668,-0.731814671,-0.586462784,-0.910019802,2.610070012,-0.465094159,4.790041753,2.42029074,0.008939017,1
1.791632004,-0.768096758,-1.3478668,5.498091174,-1.58380602,-0.910019802,-0.63861228,1.535633004,4.790041753,-1.290729733,-1.02986353,0
1.004628059,1.341599553,2.237716851,-0.731814671,-1.58380602,-0.910019802,-0.63861228,-1.693396119,-0.908079194,-1.290729733,0.008939017,0
1.873206357,-1.153992802,1.352211232,-0.731814671,-1.58380602,-0.910019802,1.416147283,0.074223272,-1.09754039,-1.290729733,-2.849962917,1
1.135795383,3.093711794,-0.984636389,2.093247205,-0.586462784,-0.910019802,-2.254181626,1.387530757,-1.742254174,-1.290729733,-1.811160371,0
1.217774961,0.709559031,-1.3478668,-0.731814671,0.122369474,-0.910019802,3.676573315,1.252131989,-1.728027586,1.138215944,-2.849962917,1
-0.560278052,-1.651654687,-1.71109721,-0.731814671,-1.58380602,2.086218765,0.409547338,1.714527035,4.790041753,2.42029074,-0.102692084,0
-0.363527066,-1.015457553,2.600947261,-0.731814671,-1.58380602,-0.910019802,2.610070012,1.075369279,-1.533018696,-1.290729733,-1.02782907,1
-0.806216785,0.727347646,-0.984636389,2.673029298,-1.58380602,-0.910019802,1.44597776,-0.708365715,0.813077496,-1.290729733,0.85085264,0
-2.300489788,2.94276086,-0.621405979,-0.731814671,-1.58380602,-0.910019802,0.745179422,1.16790223,-1.131569761,-1.290729733,-2.066631616,0
-2.511240945,-0.163974761,-1.3478668,-0.731814671,1.761124366,-0.910019802,-1.060258897,0.884401215,4.790041753,-1.290729733,-2.066631616,0
-0.478703699,-0.365208931,2.964177671,-0.731814671,-0.586462784,-0.910019802,1.226278311,2.512726589,-2.616622479,-1.290729733,-0.234089488,1
1.316150454,0.089514709,1.51125603,-0.731814671,-1.58380602,2.086218765,3.486704343,0.25778832,-0.674279106,1.138215944,-2.139446698,1
0.594377146,-0.499587568,-1.71109721,-0.731814671,-0.874973762,0.557183661,0.118317422,-1.830800779,4.790041753,2.42029074,2.74783603,0
-0.314339319,0.945154114,-1.3478668,-0.731814671,2.469956625,-0.910019802,0.10877536,-0.731283654,4.790041753,-1.290729733,-0.234089488,0
-1.766274661,0.089514709,0.625750411,-0.731814671,-0.441831647,3.497070138,2.040463094,0.557404937,-0.45055122,2.42029074,-1.426326182,1
-0.314339319,-0.100776617,-1.71109721,-0.731814671,-0.586462784,-0.910019802,-0.680520951,1.263071539,-0.468975369,2.42029074,-0.888057845,0
-2.103738802,-1.923352257,0.625750411,-0.731814671,-1.58380602,-0.910019802,0.365441477,1.002488463,4.790041753,2.42029074,-2.849962917,1
1.33254637,-0.312953633,-1.3478668,-0.731814671,-0.586462784,-0.910019802,2.420201039,1.199828497,-1.330467219,2.42029074,-1.02782907,1
